epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s
70,6.699735,6.699735,0.0011,0.0828,0.0018,0.0035,6.619980,6.619980,0.0008,0.0000,0.0000,0.0000,-0.0798,1.5e-03,74.3
71,6.705568,6.705568,0.0011,0.0781,0.0024,0.0046,6.637504,6.637504,0.0006,0.0000,0.0000,0.0000,-0.0681,1.5e-03,74.3
72,6.713222,6.713222,0.0009,0.0956,0.0013,0.0026,6.642618,6.642618,0.0006,0.0000,0.0000,0.0000,-0.0706,1.5e-03,74.3
73,6.711181,6.711181,0.0010,0.0884,0.0011,0.0021,6.633140,6.633140,0.0008,0.0000,0.0000,0.0000,-0.0780,1.5e-03,74.5
74,6.719396,6.719396,0.0009,0.0825,0.0012,0.0023,6.642604,6.642604,0.0006,0.0000,0.0000,0.0000,-0.0768,1.5e-03,74.2
75,6.721037,6.721037,0.0010,0.0583,0.0012,0.0023,6.661759,6.661759,0.0011,0.0000,0.0000,0.0000,-0.0593,1.4e-03,74.6
76,6.752075,6.752075,0.0010,0.0694,0.0056,0.0103,6.693618,6.693618,0.0016,0.0000,0.0000,0.0000,-0.0585,1.4e-03,74.3
77,6.751520,6.751520,0.0011,0.0609,0.0020,0.0038,6.677487,6.677487,0.0005,0.0000,0.0000,0.0000,-0.0740,1.4e-03,74.3
78,6.753909,6.753909,0.0012,0.0780,0.0025,0.0048,6.720944,6.720944,0.0015,0.0000,0.0000,0.0000,-0.0330,1.4e-03,74.3
79,6.748194,6.748194,0.0010,0.0632,0.0011,0.0023,6.688228,6.688228,0.0007,0.0000,0.0000,0.0000,-0.0600,1.4e-03,74.3
80,6.748462,6.748462,0.0010,0.0679,0.0019,0.0038,6.688930,6.688930,0.0012,0.0000,0.0000,0.0000,-0.0595,1.4e-03,74.6
81,6.745683,6.745683,0.0013,0.0772,0.0011,0.0023,6.704630,6.704630,0.0009,0.0000,0.0000,0.0000,-0.0411,1.4e-03,74.3
82,6.751310,6.751310,0.0010,0.0644,0.0006,0.0013,6.688499,6.688499,0.0010,0.0000,0.0000,0.0000,-0.0628,1.3e-03,74.6
83,6.765959,6.765959,0.0013,0.0937,0.0004,0.0009,6.719313,6.719313,0.0014,0.0000,0.0000,0.0000,-0.0466,1.3e-03,74.3
84,6.778195,6.778195,0.0012,0.0385,0.0000,0.0001,6.761885,6.761885,0.0010,0.0000,0.0000,0.0000,-0.0163,1.3e-03,74.3
85,6.799249,6.799249,0.0011,0.1250,0.0000,0.0001,6.749329,6.749329,0.0011,0.0000,0.0000,0.0000,-0.0499,1.3e-03,74.3
86,6.822958,6.822958,0.0014,0.0364,0.0001,0.0002,6.778574,6.778574,0.0013,0.0000,0.0000,0.0000,-0.0444,1.3e-03,74.2
87,6.829260,6.829260,0.0014,0.0500,0.0002,0.0005,6.782978,6.782978,0.0014,0.0000,0.0000,0.0000,-0.0463,1.3e-03,74.6
88,6.842423,6.842423,0.0014,0.0578,0.0005,0.0010,6.802846,6.802846,0.0017,0.0000,0.0000,0.0000,-0.0396,1.3e-03,74.3
89,6.836204,6.836204,0.0015,0.0838,0.0013,0.0026,6.790542,6.790542,0.0015,0.0000,0.0000,0.0000,-0.0457,1.2e-03,74.5
90,6.858392,6.858392,0.0014,0.0794,0.0207,0.0328,6.780966,6.780966,0.0015,0.0000,0.0000,0.0000,-0.0774,1.2e-03,74.3
91,6.832783,6.832783,0.0015,0.0705,0.0005,0.0011,6.792171,6.792171,0.0015,0.0000,0.0000,0.0000,-0.0406,1.2e-03,74.3
92,6.839662,6.839662,0.0014,0.0795,0.0003,0.0007,6.814859,6.814859,0.0015,0.0000,0.0000,0.0000,-0.0248,1.2e-03,74.3
93,6.856516,6.856516,0.0014,0.0728,0.0011,0.0021,6.814035,6.814035,0.0016,0.0000,0.0000,0.0000,-0.0425,1.2e-03,74.2
94,6.857819,6.857819,0.0014,0.1005,0.0009,0.0018,6.833217,6.833217,0.0016,0.0000,0.0000,0.0000,-0.0246,1.2e-03,74.6
95,6.863697,6.863697,0.0014,0.0682,0.0004,0.0009,6.814866,6.814866,0.0015,0.0000,0.0000,0.0000,-0.0488,1.1e-03,74.3
96,6.871317,6.871317,0.0014,0.1264,0.0005,0.0011,6.834125,6.834125,0.0015,0.0000,0.0000,0.0000,-0.0372,1.1e-03,74.5
97,6.882391,6.882391,0.0014,0.0649,0.0005,0.0010,6.839641,6.839641,0.0014,0.0000,0.0000,0.0000,-0.0427,1.1e-03,74.3
98,6.879815,6.879815,0.0014,0.1076,0.0008,0.0016,6.859885,6.859885,0.0016,0.0000,0.0000,0.0000,-0.0199,1.1e-03,74.3
99,6.882809,6.882809,0.0014,0.1020,0.0005,0.0010,6.835693,6.835693,0.0016,0.0000,0.0000,0.0000,-0.0471,1.1e-03,74.3
100,6.878049,6.878049,0.0015,0.0504,0.0003,0.0006,6.864432,6.864432,0.0016,0.0000,0.0000,0.0000,-0.0136,1.1e-03,74.3
101,6.896614,6.896614,0.0015,0.0700,0.0003,0.0007,6.882998,6.882998,0.0015,0.0000,0.0000,0.0000,-0.0136,1.0e-03,74.6
102,6.888134,6.888134,0.0014,0.0952,0.0003,0.0006,6.852679,6.852679,0.0016,0.0000,0.0000,0.0000,-0.0355,1.0e-03,74.2
103,6.886337,6.886337,0.0015,0.1556,0.0003,0.0007,6.856404,6.856404,0.0016,0.0000,0.0000,0.0000,-0.0299,1.0e-03,74.5
104,6.883861,6.883861,0.0015,0.0909,0.0003,0.0006,6.846680,6.846680,0.0016,0.0000,0.0000,0.0000,-0.0372,1.0e-03,74.2
105,6.886800,6.886800,0.0015,0.0980,0.0005,0.0010,6.853674,6.853674,0.0016,0.0000,0.0000,0.0000,-0.0331,9.9e-04,74.6
106,6.878840,6.878840,0.0015,0.0000,0.0000,0.0000,6.852234,6.852234,0.0016,0.0000,0.0000,0.0000,-0.0266,9.7e-04,74.3
107,6.881030,6.881030,0.0015,0.0733,0.0005,0.0010,6.848274,6.848274,0.0016,0.0000,0.0000,0.0000,-0.0328,9.5e-04,74.4
108,6.881948,6.881948,0.0015,0.1000,0.0001,0.0003,6.855979,6.855979,0.0016,0.0000,0.0000,0.0000,-0.0260,9.4e-04,74.6
109,6.895660,6.895660,0.0015,0.0870,0.0001,0.0002,6.876549,6.876549,0.0016,0.0000,0.0000,0.0000,-0.0191,9.2e-04,74.3
110,6.895309,6.895309,0.0015,0.0833,0.0001,0.0003,6.869503,6.869503,0.0016,0.0000,0.0000,0.0000,-0.0258,9.1e-04,74.6
111,6.889998,6.889998,0.0015,0.1600,0.0002,0.0004,6.860951,6.860951,0.0016,0.0000,0.0000,0.0000,-0.0290,8.9e-04,74.3
112,6.877923,6.877923,0.0015,0.2105,0.0002,0.0004,6.849981,6.849981,0.0015,0.0000,0.0000,0.0000,-0.0279,8.8e-04,74.7
113,6.892436,6.892436,0.0015,0.1000,0.0000,0.0001,6.877698,6.877698,0.0016,0.0000,0.0000,0.0000,-0.0147,8.6e-04,74.5
114,6.887617,6.887617,0.0015,0.1429,0.0002,0.0004,6.864389,6.864389,0.0016,0.0000,0.0000,0.0000,-0.0232,8.5e-04,74.3
115,6.884437,6.884437,0.0015,0.0897,0.0010,0.0019,6.865327,6.865327,0.0016,0.0000,0.0000,0.0000,-0.0191,8.3e-04,74.6
116,6.885545,6.885545,0.0015,0.0824,0.0010,0.0020,6.858766,6.858766,0.0016,0.0000,0.0000,0.0000,-0.0268,8.1e-04,74.3
