iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
153,25.39,18.8096,180.9816,41.6989,0.5873,1.0e-04,,,5.2
154,24.59,18.2344,176.3173,42.0387,0.5752,1.0e-04,,,6.0
155,24.64,18.4121,153.4682,40.5000,0.5812,1.0e-04,,,3.5
156,24.56,18.3721,166.7330,39.7560,0.5779,1.0e-04,,,5.1
157,25.10,18.6406,156.3362,39.3977,0.5821,1.0e-04,,,3.5
158,24.26,17.8589,158.9787,37.3542,0.5895,1.0e-04,,,6.2
159,24.55,18.1855,145.6796,37.6815,0.5910,1.0e-04,,,6.4
160,25.13,18.5493,124.4437,36.7017,0.5961,1.0e-04,24.83,0.44,6.4
161,23.55,17.3936,155.7270,36.9438,0.5931,1.0e-04,,,5.4
162,25.46,19.0063,151.2319,40.2642,0.5822,1.0e-04,,,5.4
163,24.95,18.7144,162.9927,43.3665,0.5701,1.0e-04,,,6.4
164,25.29,19.1836,156.4535,41.8153,0.5729,1.0e-04,,,6.1
165,24.86,18.9326,166.7295,43.9673,0.5686,1.0e-04,,,6.1
166,24.23,18.2124,170.9508,42.5774,0.5837,1.0e-04,,,6.0
167,24.65,18.5908,176.6265,43.0327,0.5886,1.0e-04,,,3.5
168,25.54,19.1245,186.9747,42.5824,0.5955,1.0e-04,,,5.1
169,24.06,17.9468,162.3108,40.4821,0.5912,1.0e-04,,,6.0
170,25.92,19.4580,160.8023,42.1250,0.5920,1.0e-04,25.08,0.47,5.1
171,24.50,18.1641,153.3051,40.4554,0.5919,1.0e-04,,,5.1
172,25.29,18.8379,156.0976,42.7528,0.5918,1.0e-04,,,6.0
173,24.81,18.6304,180.4507,44.9940,0.5740,1.0e-04,,,6.0
174,24.74,18.4648,173.5298,44.1488,0.5838,1.0e-04,,,6.0
175,24.52,18.5356,184.9109,43.1637,0.5882,1.0e-04,,,3.5
176,24.46,18.1724,173.0828,40.0387,0.5936,1.0e-04,,,3.5
177,24.66,18.4072,176.4266,40.7798,0.6019,1.0e-04,,,6.4
178,23.77,17.5112,158.7277,39.2375,0.6008,1.0e-04,,,6.4
179,23.56,17.4531,158.6134,39.7250,0.5991,1.0e-04,,,6.1
180,26.05,19.5337,165.8599,42.3587,0.5986,1.0e-04,24.35,0.41,5.3
181,25.45,19.1196,163.9450,41.8977,0.6010,1.0e-04,,,5.2
182,24.31,18.1484,174.8837,44.3869,0.6043,1.0e-04,,,6.1
183,24.98,18.4028,164.6540,41.1193,0.6067,1.0e-04,,,6.3
184,24.06,17.8481,154.0449,39.4315,0.6080,1.0e-04,,,6.0
185,24.37,17.9697,160.5079,37.9881,0.6078,1.0e-04,,,3.5
186,23.87,17.7744,150.7957,38.0906,0.5984,1.0e-04,,,3.5
187,23.84,17.8071,162.0564,39.9500,0.6013,1.0e-04,,,6.0
188,24.51,18.2314,151.3797,39.5208,0.5984,1.0e-04,,,5.2
189,23.43,17.4116,152.0487,37.6187,0.5941,1.0e-04,,,3.5
